Country,2015,2016,2017,2018,2019,2020
Canada,271.808,296.74,286.447,321.042,341.175,184.585
France,240.497,243.59699999999998,246.22680000000005,259.93400000000014,268.46200000000005,208.49300000000005
Germany,2016.241,1719.075,1384.018,1383.58,1345.943,994.819
Italy,250.026,262.929,301.071,285.5,264.571,191.766
United Kingdom,390.24247540983606,374.9469653679654,353.5346923076923,357.15209090909093,377.8887341772152,233.67524684640813
United States,1051.031,1183.505,1127.167,1096.611,1031.765,707.362
